net,length_um
clknet_leaf_87_clk,94.48
_04630_,94.42
clknet_leaf_49_clk,94.32
clknet_leaf_107_clk,94.3
clknet_leaf_83_clk,94.26
_06607_,94.14
clknet_leaf_68_clk,94.04
clknet_leaf_23_clk,94.02
clknet_leaf_82_clk,93.78
net234,93.66
clknet_leaf_58_clk,93.4
cpu_state\[2\],93.22
net137,93.04
clknet_leaf_179_clk,92.975
clknet_leaf_63_clk,92.82
clknet_leaf_62_clk,92.68
clknet_leaf_126_clk,92.64
_04866_,92.58
_07306_,92.5
clknet_leaf_114_clk,92.5
_06641_,92.34
instr_rdcycle,92.25
_04183_,92.14
_01614_,91.58
_06543_,91.38
_02441_,91.35
clknet_leaf_75_clk,91.34
mem_rdata_q\[21\],90.995
clknet_leaf_40_clk,90.94
clknet_leaf_186_clk,90.815
_05643_,90.28
clknet_leaf_1_clk,90.1
_02853_,90.07
clknet_leaf_97_clk,89.72
_05681_,89.64
clknet_leaf_72_clk,89.58
cpuregs\[29\]\[4\],89.42
_05247_,89.36
_04602_,89.3
count_cycle\[31\],89.26
reg_next_pc\[25\],89.26
instr_xor,89.2
_03697_,89.18
_07498_,89.16
_06044_,89.08
clknet_leaf_60_clk,89.08
clknet_leaf_160_clk,89.06
reg_next_pc\[6\],88.96
net583,88.88
_03615_,88.76
_03463_,88.645
_05660_,88.54
_07501_,88.53
_03219_,88.42
clknet_leaf_134_clk,88.1
_07250_,88.08
clknet_leaf_64_clk,87.9
clknet_leaf_30_clk,87.6
_01634_,87.48
_05671_,87.38
clknet_leaf_168_clk,87.19
count_cycle\[40\],87.1
clknet_leaf_53_clk,87.06
_02224_,86.96
_01624_,86.94
instr_jalr,86.74
_02644_,86.44
latched_is_lb,86.32
clknet_leaf_57_clk,86.32
_05679_,85.94
_07397_,85.86
count_cycle\[46\],85.72
clknet_leaf_84_clk,85.7
clknet_leaf_26_clk,85.36
_06577_,85.22
_06673_,85.02
cpuregs\[9\]\[6\],85
_03445_,84.88
clknet_leaf_135_clk,84.85
_06689_,84.8
_06982_,84.52
_05652_,84.5
clknet_leaf_172_clk,84.5
_03286_,84.48
clknet_leaf_139_clk,84.36
clknet_leaf_37_clk,84.14
instr_rdcycleh,84.1
clknet_leaf_34_clk,83.59
_06274_,83.36
instr_lw,83.08
clknet_leaf_120_clk,82.92
mem_rdata_q\[20\],82.895
clknet_leaf_164_clk,82.76
_04662_,82.74
_04717_,82.38
clknet_leaf_122_clk,82.34
_07272_,81.86
clknet_leaf_105_clk,81.68
_02157_,81.64
_04770_,81.62
